库存SKU英文名称,库存SKU,库存总量
"Knit Your Love V-Neck Sweater in Tan",T180823015XXL-XXXL,2
"Warm Welcome Grid Turtleneck Sweater Dress",D180825018M-L,339
"Warm Welcome Grid Turtleneck Sweater Dress",D180825018XL-XXL,243
"Level Up Eyelet Embroidered Top in White",T180828004S-M,4
"Lie in Caramel Fields Striped Oversize Knit Cape Sweater",T180829002S-M,28
"Flower Lullaby Maxi Slip Dress",D20150616018XL,2
"Flower Lullaby Maxi Slip Dress",D20150616018M,8
"Feeling of Warmth Faux Fur Longline Coat in Sand",T180908005S,1
"Feeling of Warmth Faux Fur Longline Coat in Mauve",T180908006M,2
"Feeling of Warmth Faux Fur Longline Coat in Mauve",T180908006S,2
"Feeling of Warmth Faux Fur Longline Coat in Grey",T180908007XS,2
"Chunky Chunky Puff Sleeves Cropped Sweater in Lavender",T180922005L-XL,2
"Chunky Chunky Puff Sleeves Cropped Sweater in Lavender",T180922005S-M,7
"Chunky Chunky Puff Sleeves Cropped Sweater in White",T180922006L-XL,6
"Chunky Chunky Puff Sleeves Cropped Sweater in White",T180922006S-M,1
"Chunky Chunky Puff Sleeves Cropped Sweater in Grey",T180922007L-XL,3
"Chunky Chunky Puff Sleeves Cropped Sweater in Grey",T180922007S-M,3
"Chunky Chunky Puff Sleeves Cropped Sweater in Caramel",T180922008L-XL,1
"Crush on Casual Bowknot Cape Sleeves Top in Blue Halloween Costumes",T180929007L,19
"Crush on Casual Bowknot Cape Sleeves Top in Blue Halloween Costumes",T180929007M,3
"Classic Simplicity A-Line Midi Skirt in Blue Halloween Costumes",B180929024M,8
"Classic Simplicity A-Line Midi Skirt in Blue Halloween Costumes",B180929024S,2
"Cafe Time Wavy Wrap Knit Top in Black",T181004015S-M,2
"Cafe Time Wavy Wrap Knit Top in Caramel",T181004016S-M,1
"Cafe Time Wavy Wrap Knit Top in Teal",T181004017S-M,2
"What We Dream Fluffy Hand-Knit Shift Dress with Bubble Sleeves",D181006007XS-S,4
"What We Dream Fluffy Hand-Knit Shift Dress with Bubble Sleeves",D181006007M-L,5
"Lie in Grey Fields Striped Oversize Knit Cape Sweater",T181029001L-XL,13
"The Clever Illusions Mesh Skirt in Pink",B181101026S-M,1
"The Clever Illusions Mesh Skirt in Cream",B181101027S-M,2
"Wintry Morning Cable Knit Cardigan in White",T181108015S-M,3
"Wintry Morning Cable Knit Cardigan in White",T181108015L-XL,1
"Wintry Morning Cable Knit Cardigan in Lavender",T181108016L-XL,5
"Wintry Morning Cable Knit Cardigan in Caramel",T181108017S-M,1
"Wintry Morning Cable Knit Cardigan in Grey",T181108018S-M,1
"Wintry Morning Cable Knit Cardigan in Grey",T181108018L-XL,1
"My Secret Garden Tulle Maxi Skirt in Brown",B181206011S-M,11
"Feeling of Warmth Faux Fur Longline Coat in Black",T181210001L,3
"Classic Simplicity A-Line Midi Skirt in Blue Halloween Costumes",B180929024XL,5
"Grid Turtleneck Sweater",T20151106005L-XL,38
"Heart and Soul Patched Knit Sweater in White",T20171116016S-M,49
